Company,Primary Sector,Tags,Short Description,Country,Region,Date,Quarter,Amount ($),Investment Type,TPIC,Corp Investor?,Investor 1,Investor 2,Investor 3,Investor 4,Investor 5,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13
Agrisoma,Biofuels & Biochemicals,"Agriculture,Agriculture & Food,Biofuels & Biochemicals,Biotechnology Developer,Feedstock Technology,Genetic Engineering,Industrial Biotech",Developer of a proprietary Engineered Trait Loci (ETL) as an advanced feedstock technology for biofuel production,Canada,North America,2014/09/26,3Q14,"$8,000,000",Growth Equity,"$8,000,000",No,Business Development Bank of Canada (BDC) Venture Capital,Cycle Capital,,,,,,,,,,,
Aihuishou,Recycling & Waste,Recycling & Waste,Operator of China's first online electronics recycling online platform,China,Asia Pacific,2014/07/16,3Q14,"$8,000,000",Series B,"$8,000,000",No,International Finance Corporation (IFC),Morningside Ventures,,,,,,,,,,,
Atonarp,Conventional Fuels,"Conventional Fuels,Digital Oilfield,Hardware,Natural Gas,Oil & Gas,Sensors",Provider of gas composition analysis products,Japan,Asia Pacific,2014/08/13,3Q14,"$8,000,000",Series A,"$8,000,000",No,Walden Riverwood Ventures,,,,,,,,,,,,
Cabify,Transportation,"Cleanweb,Software,Taxi/Private Car Service,Transportation",Operator of an on-demand high-end web and mobile-app enabled car service,Spain,Europe & Israel,2014/04/07,2Q14,"$8,000,000",Series B,"$16,000,000",No,Seaya Ventures,,,,,,,,,,,,
Enevo,Recycling & Waste,"Cleanweb,Collection,Hardware,Recycling,Recycling & Waste",Provider and operator of smart sensor networks for the waste management industry,Finland,Europe & Israel,2014/08/28,3Q14,"$8,000,000",Series B,"$10,865,000",No,EarlyBird Venture Capital,Finnish Industry Investment,Draper Associates,Risto Siilasmaa,,,,,,,,,
Flux Factory,Energy Efficiency,"Efficient Design & Build,Energy Efficiency,Energy Services,Smart Buildings,Software",Developer of collaborative efficient building design software,United States,North America,2014/05/06,2Q14,"$8,000,000",Series A,"$8,000,000",Yes,Draper Fisher Jurvetson (DFJ),Google Ventures,Borealis Ventures,Andreessen Horowitz,Evan Williams,,,,,,,,
FRX Polymers,Advanced Materials,"Advanced Materials,Apparel & Footwear,Consumer Products,Electronics,Flame Retardants,Global Cleantech 100 (2012),Hardware,Plastics,Polycarbonates,Polymers,Textiles","Developer of a patent protected, non-halogen, non burning family of transparent high flow thermoplastics in the global flame retardant plastics market",United States,North America,2014/05/07,2Q14,"$8,000,000",Growth Equity,"$58,200,000",Yes,Evonik Venture Capital,Masdar Capital,BASF Venture Capital,Israel Cleantech Ventures,Capricorn Venture Partners,RobecoSAM,Triton Ventures,ParticipatieMaatschappij Vlaanderen (PMV),,,,,
FarmLogs,Agriculture & Food,"Agriculture & Food,Agriculture Software,Crops,Software",Developer of software to help farmers improve crop yield through management tools and better information,United States,North America,2014/12/17,4Q14,"$10,000,000",Series B,"$15,000,000",No,Drive Capital,Huron River Ventures,Hyde Park Venture Partners,SV Angel,Sam Altman,,,,,,,,
GulfSlope Energy,Conventional Fuels,"Conventional Fuels,Exploration & Geoscience,Oil & Gas,Services","Provider of services and data for oil exploration, including highly accurate sub-surface maps",United States,North America,2014/07/22,3Q14,"$8,000,000",Growth Equity,"$17,079,500",No,,,,,,,,,,,,,
Lehigh Technologies,Recycling & Waste,"Manufacturing,Recycling,Recycling & Waste,Rubber",Manufacturer of fine engineered rubber powder polymers from reclaimed natural and synthetic scrap rubber,United States,North America,2014/09/03,3Q14,"$8,000,000",Growth Equity,"$81,500,000",Yes,JSR Corporation,Leaf Clean Energy Company,Kleiner Perkins Caufield & Byers (KPCB),Florida Gulfshore Capital,Index Ventures,,,,,,,,
sunfire,Fuel Cells & Hydrogen,"Biodiesel,Biofuels & Biochemicals,Energy Storage,Fuel Cells,Fuel Cells & Hydrogen,Hardware,Industrial Biotech,Solid Oxide Fuel Cells,Transportation","Provider of energy conversion technologies including solid oxide fuel cells as well as solutions that produce renewable synthetic fuels (diesel, jet-A, SNG) based on solid oxide electrolyzers",Germany,Europe & Israel,2014/02/25,1Q14,"$8,000,000",Series B,"$16,000,000",Yes,Total Energy Ventures,Electranova Capital,Bilfinger Venture Capital,,,,,,,,,,
tenKsolar,Solar,"Balance of Systems,Concentrating Photovoltaics (CPV),Downstream PV,Ground-Mounted PV,Hardware,Midstream PV,PV Cells / Modules,PV Mounting & Racking,Photovoltaics (PV),Rooftop PV,Solar",Developer of integrated solar PV systems using reflective mirror concentration and mounting hardware,United States,North America,2014/09/26,3Q14,"$8,000,000",Growth Equity,"$41,140,000",No,,,,,,,,,,,,,
FastCap Aerospace Technologies,Energy Storage,"Capacitors,Energy Storage,Hardware,Mechanical/Electrical Storage",Developer of ultra-capacitor technologies for the aerospace industry,United States,North America,2014/10/15,4Q14,"$2,300,000",Seed,"$2,300,000",No,,,,,,,,,,,,,
Zubie,Transportation,"Cleanweb,Driver Behaviour,Software,Transportation,Transportation Software",Developer of technology for the harvest and analysis of operational and driver behavior data for automobiles,United States,North America,2014/08/11,3Q14,"$8,000,000",Series B,"$18,000,000",Yes,Nokia Growth Partners,Magna International,Castrol innoVentures,Comporium,OpenAir Equity Partners,,,,,,,,
Turbine Air Systems (TAS Energy),Energy Efficiency,"Commercial Buildings,Data Center Infrastructure Management,Energy Efficiency,Energy Storage,Green IT,Grid Energy Storage,Industrial Efficiency,Power Grid,Renewables Integration,Smart Buildings,Thermal Storage,Waste Heat Recovery,Wholesale Energy Services","Manufacturer of packaged cooling and energy systems for multiple end markets, including power generation, commercial and industrial cooling, advanced heat recovery, and data centers.",United States,North America,2014/05/23,2Q14,"$7,900,000",Growth Equity,"$69,900,000",No,,,,,,,,,,,,,
ZPower,Energy Storage,"Batteries,Consumer Electronics Energy Storage,Electrochemical Storage,Energy Storage,Zinc-Based Batteries",Developer of high-performance rechargeable alkaline silver zinc micro-battery technology,United States,North America,2014/03/05,1Q14,"$7,900,000",Growth Equity,"$106,400,000",No,,,,,,,,,,,,,
Verdigris Technologies,Energy Efficiency,"Building Energy Management Systems,Cleanweb,Commercial Buildings,Energy Disaggregation,Energy Efficiency,Enterprise Energy Management,Hardware,Smart Buildings,Software",Provider of advanced energy metering and analytics,United States,North America,2014/09/08,3Q14,"$7,732,517",Series A,"$7,832,517",No,,,,,,,,,,,,,
On-Ramp Wireless,Smart Grid,"Agriculture & Food,Asset Monitoring and Management,Cleanweb,Conventional Fuels,Crops,Digital Oilfield,Distribution Automation,Global Cleantech 100 (2011),Global Cleantech 100 (2012),Global Cleantech 100 (2013),Grid Networking,Grid Optimization,Networking & Communication,Oil & Gas,Pipeline / Storage,Pipeline / Storage Monitoring,Power Grid,Precision Agriculture,RF,Smart Grid,Software,Substation Automation,Telemetry,Utility Applications,Well Monitoring","Developer of wireless communication systems for smart grid, and other industries, that allow device communication in hard to reach environments",United States,North America,2014/04/23,2Q14,"$7,711,858",Growth Equity,"$54,711,858",Yes,Enbridge,Energy Technology Ventures,Third Wave Ventures,,,,,,,,,,
SNUPI Technologies,Other Cleantech,"Air,Hardware,Indoor Air Quality,Internet of Things,Other Cleantech,Pollution Monitoring,Residential/Commercial Water,Smart Buildings,Software,Water & Wastewater,Water Conservation,Water Technology Vendor","Developer of sensor networks for home automation, which detect and alert homeowners to things like water leaks, and the presence of smoke or methane",United States,North America,2014/01/13,1Q14,"$7,533,773",Series A,"$9,233,773",No,Madrona Venture Group,,,,,,,,,,,,
Recovery Technology Solutions,Recycling & Waste,"Hardware,Recycling,Recycling & Waste","Developer of a proprietary disruptive process technology for the recycling of asphalt shingles and the extraction and recovery of asphalt cement, fiberglass/felt, mineral aggregates and mineral fillers",United States,North America,2014/03/13,1Q14,"$7,450,000",Series A,"$23,950,000",No,US Renewables Group,,,,,,,,,,,,
Motiv Power Systems,Transportation,"Drive Train,Electric Vehicles,Heavy-Duty Truck,Transportation,Vehicle Components",Developer of powertrains for electric vehicles,United States,North America,2014/07/01,3Q14,"$7,300,000",Series B,"$7,300,000",No,Magness Investment Group,,,,,,,,,,,,
FINsix,Energy Efficiency,"Efficient Electronics,Energy Efficiency,Hardware",Developer of power supply systems based on VHF switching architecture previously known as OnChipPower,United States,North America,2014/10/31,4Q14,"$2,000,000",Growth Equity,"$10,903,435",No,,,,,,,,,,,,,
FlexEnergy,Conventional Fuels,"Conventional Fuels,Efficient Motors & Equipment,Energy Efficiency,Hardware,Industrial Efficiency,Microturbines,Natural Gas,Natural Gas Power Generation,Oil & Gas,Recycling & Waste,Waste Heat Recovery,Waste to Energy",Manufacturer of a power generator that runs on a variety of low energy waste gases and creates low NOx emissions,United States,North America,2014/12/15,4Q14,,Growth Equity,"$44,745,699",No,Intervale Capital,,,,,,,,,,,,
aWhere,Agriculture & Food,"Agriculture & Food,Agriculture Software,Crops,Precision Agriculture,Software,Weather & Climate",Generator of climate smart recommendations and alerts for small-scale farmers,United States,North America,2014/09/09,3Q14,"$7,000,000",Series A,"$9,445,000",No,Elixir Capital,Aravaipa Ventures,,,,,,,,,,,
Ecologic Brands,Recycling & Waste,"Biodegradable Products,Manufacturing,Paper,Plastics,Recycling,Recycling & Waste,Services","Manufacturer of recyclable packaging solutions for laundry, juice, dairy, and home cleaning products",United States,North America,2014/04/30,2Q14,"$7,000,000",Series B,"$8,000,000",No,DBL Investors,Catamount Ventures,Black Bear Partners,,,,,,,,,,
EnergySavvy,Energy Efficiency,"Cleanweb,Efficiency Education,Energy Audits,Energy Efficiency,Energy Services,Enterprise Energy Management,Smart Buildings,Software",Developer of software systems that integrate utility and government energy efficiency programs for homeowners,United States,North America,2014/05/01,2Q14,"$7,000,000",Series B,"$12,350,000",No,Prelude Ventures,Pivotal Investments,,,,,,,,,,,
Evrythng,Other Cleantech,"Internet of Things,Other Cleantech,Software",Developer of a SaaS platform for Internet of Things applications,United Kingdom,Europe & Israel,2014/05/01,2Q14,"$7,000,000",Series A,"$7,000,000",Yes,Atomico,BHLP,Cisco Systems,Dawn Capital,,,,,,,,,
Invisible Sentinel,Agriculture & Food,"Agriculture & Food,Food Safety,Software",Developer of a molecular diagnostic system for the detection of food-borne pathogens,United States,North America,2014/01/14,1Q14,"$7,000,000",Growth Equity,"$10,025,000",No,,,,,,,,,,,,,
Kinestral Technologies,Energy Efficiency,"Building Envelope,Commercial Buildings,Efficient Windows,Energy Efficiency,Glass,Hardware,Smart Buildings,Transportation,Vehicle Components","Developer of energy efficient glass for commercial, residential, and automotive applications",United States,North America,2014/02/26,1Q14,"$7,000,000",Series B,"$23,000,000",No,5AM Ventures,Versant Ventures,,,,,,,,,,,
Flywheel,Transportation,"Cleanweb,Software,Taxi/Private Car Service,Transportation",Developer of a tracking and calling taxi app,United States,North America,2014/11/21,4Q14,"$12,000,000",Growth Equity,"$34,800,000",No,Shasta Ventures,RockPort Capital Partners,Craton Equity Partners,,,,,,,,,,
Nextility,Energy Efficiency,"Cleanweb,Commissioning,Energy Efficiency,Energy Services,Financing,Services,Smart Buildings,Software,Solar",Provider of energy efficiency project financing and development services,United States,North America,2014/09/12,3Q14,"$7,000,000",Series B,"$8,000,000",No,DC Community Ventures,,,,,,,,,,,,
Off Grid Electric,Solar,"Downstream PV,Hardware,Photovoltaics (PV),Solar","Provider of off-grid, ""solar energy as a service"" mobile solutions in Africa",Tanzania,Africa,2014/03/21,1Q14,"$7,000,000",Series A,"$23,150,000",Yes,SolarCity,Vulcan Capital,Omidyar Network,,,,,,,,,,
QBotix,Solar,"Balance of Systems,Downstream PV,Dual-Axis Tracking,Hardware,Photovoltaics (PV),Project Development,Solar,Solar Tracking Systems",Developer of robotic technology to improve the operation and management of solar plants,United States,North America,2014/05/15,2Q14,"$7,000,000",Series B,"$18,500,000",Yes,Firelake Capital Management,New Enterprise Associates (NEA),E.ON Ventures,Iberdrola Ventures - PERSEO,Draper Nexus Ventures,,,,,,,,
REGEN Energy,Energy Efficiency,"Building Energy Management Systems,Cleanweb,Commercial Buildings,Demand Response,Efficient Heating & Cooling,Energy Efficiency,Enterprise Energy Management,HVACR,Hardware,Smart Buildings,Smart Grid,Software","Developer of energy efficiency controllers for commercial, institutional, industrial, and multi-unit residential facilities",Canada,North America,2014/02/04,1Q14,"$7,000,000",Series B,"$17,982,000",No,Business Development Bank of Canada (BDC) Venture Capital,NGEN Partners,,,,,,,,,,,
FooBoo,Agriculture & Food,"Agriculture & Food,Software",Developer of a foodtech app,United States,North America,2014/10/16,4Q14,,Seed,,No,High-Tech Gründerfonds Management,Media Ventures,,,,,,,,,,,
LUXeXcel,Energy Efficiency,"3D Printing,Commercial Buildings,Energy Efficiency,Hardware,Industrial Efficiency,Lighting,Lighting Materials,Smart Buildings","Manufacturer of optical solutions for the global LED lighting industry with digital printing, optical and lighting technology",Netherlands,Europe & Israel,2014/01/14,1Q14,"$6,809,000",Series B,"$12,059,000",No,Munich Venture Partners,Chrysalix SET,Filsa Capital,,,,,,,,,,
Techniwood,Advanced Materials,Advanced Materials,Designer and manufacturer of a proprietary industrial wood construction system,France,Europe & Israel,2014/07/03,3Q14,"$6,800,000",Growth Equity,"$6,800,000",No,Electranova Capital,,,,,,,,,,,,
FoodEssentials,Agriculture & Food,"Agriculture & Food,Food Safety,Software,Supply Chain Tracking",Developer of a market and product intelligence platform for the food industry,United States,North America,2014/10/16,4Q14,"$1,500,000",Series A,"$2,640,000",No,Mercury Fund,,,,,,,,,,,,
Mosaic,Solar,"Cleanweb,Downstream PV,Financing,Global Cleantech 100 (2013),Photovoltaics (PV),Project Development,Residential Scale,Rooftop PV,Software,Solar",Organizer of community solar financing projects,United States,North America,2014/02/27,1Q14,"$6,500,000",Series B,"$12,550,000",No,,,,,,,,,,,,,
FoodEssentials,Agriculture & Food,"Agriculture & Food,Food Safety,Software,Supply Chain Tracking",Developer of a market and product intelligence platform for the food industry,United States,North America,2014/12/19,4Q14,"$640,000",Series A,"$2,640,000",No,,,,,,,,,,,,,
Pango,Transportation,"Cleanweb,Internet of Things,Parking Management,Transportation,Transportation Software",Developer of a mobile app for smart parking applications,Israel,Europe & Israel,2014/03/02,1Q14,"$6,500,000",Growth Equity,"$6,500,000",No,Bearing Capital,,,,,,,,,,,,
Pango Mobile Parking,Transportation,"Software,Transportation","developer and provider of Smart Parking solutions for municipalities, private garages and drivers",Israel,Europe & Israel,2014/03/03,1Q14,"$6,500,000",Series A,"$6,500,000",No,Bearing Capital,,,,,,,,,,,,
Ecovision,Other Cleantech,"Biomass Generation,Commercial Scale,Downstream PV,Geothermal,Other Cleantech,Photovoltaics (PV),Project Development,Residential Scale,Rooftop PV,Services,Solar,Solar Hot Water,Solar Thermal,Systems Integration","Provider of heat pump, solar PV, and solar heating technologies for residential and commercial customers",United Kingdom,Europe & Israel,2014/08/29,3Q14,"$6,300,000",Series A,"$7,900,000",No,Business Growth Fund (BGF),,,,,,,,,,,,
Next Step Living,Energy Efficiency,"Cleanweb,Energy Analytics,Energy Efficiency,Global Cleantech 100 (2013),Services,Smart Buildings,Smart Home,Software",Developer of whole-home energy solutions,United States,North America,2014/03/14,1Q14,"$6,239,268",Growth Equity,"$64,252,986",No,VantagePoint Capital Partners,BlueWave Capital,Black Coral Capital,,,,,,,,,,
